factor,level,seed,val_accuracy,train_accuracy,val_loss,best_epoch,epochs_run,n_parameters,seconds,stopped_early,error
optimizer,sgd_momentum,0,0.3516666666666667,0.3005555555555556,1.9160496012369792,3,3,51018,0.3,False,
optimizer,adamw,0,0.7483333333333333,0.7727777777777778,0.8368429565429687,3,3,51018,0.1,False,
learning_rate,0.001,0,0.7483333333333333,0.7727777777777778,0.8368429565429687,3,3,51018,0.1,False,
learning_rate,0.01,0,0.8483333333333334,0.8966666666666666,0.49647171020507813,2,3,51018,0.1,False,
batch_size,128,0,0.8183333333333334,0.8555555555555555,0.6619130452473958,3,3,51018,0.2,False,
batch_size,256,0,0.7483333333333333,0.7727777777777778,0.8368429565429687,3,3,51018,0.1,False,
activation,relu,0,0.7483333333333333,0.7727777777777778,0.8368429565429687,3,3,51018,0.1,False,
activation,tanh,0,0.765,0.7966666666666666,0.8019015502929687,3,3,51018,0.1,False,
dropout,0.0,0,0.7516666666666667,0.7944444444444444,0.8310496520996093,3,3,51018,0.1,False,
dropout,0.3,0,0.74,0.7138888888888889,0.8690869140625,3,3,51018,0.1,False,
hidden_sizes,32,0,0.58,0.5766666666666667,1.2730729166666668,3,3,25514,0.2,False,
hidden_sizes,64-32,0,0.6733333333333333,0.5966666666666667,1.1964581298828125,3,3,52842,0.2,False,
loss,cross_entropy,0,0.7483333333333333,0.7727777777777778,0.8368429565429687,3,3,51018,0.1,False,
loss,mse,0,0.72,0.7372222222222222,0.04020508448282878,3,3,51018,0.2,False,
scheduler,none,0,0.7483333333333333,0.7727777777777778,0.8368429565429687,3,3,51018,0.1,False,
scheduler,cosine,0,0.705,0.7405555555555555,1.0149391682942708,3,3,51018,0.1,False,
weight_decay,0.0,0,0.7483333333333333,0.7727777777777778,0.83796630859375,3,3,51018,0.1,False,
weight_decay,0.001,0,0.7483333333333333,0.7727777777777778,0.8371709187825521,3,3,51018,0.1,False,
augment,False,0,0.7483333333333333,0.7727777777777778,0.8368429565429687,3,3,51018,0.1,False,
augment,True,0,0.7,0.6077777777777778,0.9575336710611979,3,3,51018,0.1,False,
